Geracao,Fitness,Caminho
1,0,BCCBDEDDBCBBEBD
2,630,BEBECCBCDEBDBBEDDCCECEBEBDEEBEC
3,690,DBCDDDECDEBDBCBDCBEBBCCEEDEDECEBBCEDE
4,749,BDDECBBCCCEBCEECEBEDEE
5,787,DCCDDBDEBDCD
6,790,DBCCDBEEEDCC
7,809,BDDCECEDBDCD
8,809,BBCECEBBBDCB
9,827,CBCCDBDEBDCE
10,827,CBCCDBDEBDCE
11,827,CBDECBDECBEC
12,830,CDECCCDDBBCC
13,830,CDCEDCDDBCCD
14,830,DCCECCDDEDCD
15,830,ECCCDBDCBDCE
16,830,CBCECCDBCCED
17,830,DCEBCCDDEDCE
18,830,CBEDCCCCBDCE
19,830,DCECBDCCBDCE
20,839,CBECECCDECBE
21,839,CBECEDECEDEB
22,829,CDCDDDCCBDEE
23,839,CBECBCCDECCB
24,839,CECBECEBBCDE
25,843,CBECECCBBDBE
26,839,CBECECDCECBE
27,839,BBECCBBEBCCE
28,839,CBECECDCECBE
29,839,CBECECDCECBE
30,830,CEDBECCCBCCD
31,830,CCBDBBBBCCCD
32,830,EDCBBCCBCCEE
33,830,CBCDBBBBDCCC
34,830,CCDEBDCCDCBC
35,830,CDDCBCCCBCDC
36,830,CCCCBDCCBCCE
37,830,DDCBCCDBCCDE
38,830,CECBDBECCCCC
39,830,CBDBBCCCBCCC
40,830,BECBBBBCCBCC
41,849,CBCDBECEDBCC
42,849,CBCDBECEDBCC
43,849,CBCDBECEDBCC
44,849,CBCDBDDCCBEC
45,849,CBCBBDECBCDC
46,843,ECCBBEBCCBBD
47,843,ECCBBBCBEBCB
48,839,DECBBCBEBCCE
49,843,CBCDBBCDBCBD
50,840,BBCCEEBEBCCE
51,843,CDCBDBCBDBCB
52,843,CDCDDBCBDBCB
53,843,EECBCBCCDBDB
54,843,CBBDCBCBDECB
55,843,CBCBDBCBBBCB
56,843,CBCBDBCBCBDE
57,843,CDCBDBCEBDCB
58,843,DECBCECBDBCB
59,843,CECBDBCBCBDE
60,849,DCBBCECBECCB
61,849,CBCBBBCBCCDD
62,849,CBBCDCCCEBBC
63,849,CBCCDCCBECDD
64,849,CBBCDCCCEBBC
65,849,CBBCDCCCEBBC
66,843,ECCCBBCBDBDD
67,843,CBCCDBCBBBED
68,843,CBBCBDCBCEDB
69,843,CBBCBDCBCEDB
70,849,CBBCCCEBECCD
71,843,CBBCBDCBDCDB
72,843,CCEDEBCBBDBB
73,849,CBEBCCCBCCEB
74,843,CCBBDCCDBDBB
75,849,CECEBBDBDCBC
76,843,CECCBCCBDBBB
77,843,CCCEBBBBDCDB
78,843,DCCDCBDEBDBB
79,843,CCCBDBEBBBCB
80,843,BCCDCBBBDCEB
81,839,CCCEDBEBDECB
82,843,DCCBEDCECDBB
83,843,CCCCBDDBBDCB
84,843,CBBCDBCBCBBB
85,843,BCCCBDCBBBDE
86,843,CCCCCBEBCDBB
87,843,DCDCEDCBBBEB
88,843,DCDCEDCBBBEB
89,843,CCECBDDBCBDB
90,843,BCCCBDDDBBCB
91,843,DCCCBBBBCBDB
92,843,BCCEBDDBCBBB
93,843,CCEDDBDBBCBB
94,843,CCECBCDBBBCB
95,843,CCECCDDBBCBB
96,829,DDECECEECCBB
97,827,ECDCBEECBCBD
98,829,CCEBDDECBCCE
99,829,DBECDCEEECBB
100,829,DCCDECDEEBEB
